epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.044,2.05424,2.21101,1.74352,0.41957,0.31885,0.25065,0.07617,2.76674,3.06022,2.17706,0.0669975,0.000165842,0.000165842
2,239.539,1.95715,1.98664,1.7069,0.44832,0.33533,0.27346,0.09771,2.54125,3.92154,1.93858,0.0338308,0.000332427,0.000332427
3,357.328,1.97351,1.9594,1.71094,0.42517,0.37019,0.3081,0.09748,2.50216,3.27262,1.9144,0.000663704,0.000498687,0.000498687
4,473.809,1.92818,1.84882,1.69067,0.4704,0.40474,0.33989,0.12902,2.41854,3.60539,1.84795,0.000498902,0.000498902,0.000498902
5,592.515,1.89929,1.81897,1.6615,0.40733,0.34748,0.29039,0.09755,2.65361,3.39138,2.01155,0.000498048,0.000498048,0.000498048
6,709.368,1.86356,1.72867,1.6271,0.52199,0.39993,0.39116,0.15126,2.30289,2.62109,1.73964,0.000496953,0.000496953,0.000496953
7,827.584,1.84651,1.68046,1.61135,0.52182,0.43731,0.41876,0.17302,2.35895,2.62904,1.79726,0.000495616,0.000495616,0.000495616
8,946.196,1.81729,1.66116,1.60807,0.50183,0.42942,0.39223,0.14381,2.53458,3.3736,1.90841,0.000494039,0.000494039,0.000494039
9,1064.07,1.8133,1.63863,1.60226,0.52427,0.41461,0.40246,0.15165,2.44463,2.05484,1.84413,0.000492224,0.000492224,0.000492224
10,1180.94,1.77728,1.56284,1.59328,0.60569,0.45706,0.44042,0.16494,2.42172,2.65357,1.82926,0.000490173,0.000490173,0.000490173
11,1297.74,1.77199,1.51206,1.57291,0.55546,0.46298,0.43728,0.17379,2.33855,2.58309,1.81352,0.000487886,0.000487886,0.000487886
12,1418.28,1.74629,1.4613,1.55956,0.52902,0.46002,0.42795,0.17156,2.41017,1.91723,1.84667,0.000485368,0.000485368,0.000485368
13,1535.35,1.73489,1.44739,1.56485,0.52683,0.47384,0.4385,0.15695,2.427,2.50528,1.86415,0.00048262,0.00048262,0.00048262
14,1652.36,1.70763,1.42367,1.55076,0.52601,0.49847,0.48276,0.18458,2.43793,2.09721,1.83532,0.000479644,0.000479644,0.000479644
15,1771.01,1.70918,1.41918,1.52995,0.55958,0.45906,0.44379,0.16407,2.37811,2.43296,1.77899,0.000476445,0.000476445,0.000476445
16,1888.1,1.70036,1.35494,1.52578,0.60246,0.46989,0.49362,0.18333,2.46724,2.06895,1.87062,0.000473024,0.000473024,0.000473024
17,2005.09,1.6735,1.36371,1.50893,0.58108,0.45324,0.48768,0.20309,2.32283,1.99444,1.78138,0.000469386,0.000469386,0.000469386
18,2123.66,1.66587,1.34653,1.48927,0.56682,0.47878,0.47803,0.19358,2.341,2.06945,1.75349,0.000465534,0.000465534,0.000465534
19,2240.24,1.65049,1.31157,1.4937,0.5423,0.48773,0.47473,0.19404,2.35014,1.88566,1.77887,0.000461471,0.000461471,0.000461471
20,2356.95,1.64028,1.29531,1.4827,0.53656,0.47187,0.47252,0.19806,2.26997,2.15444,1.77714,0.000457202,0.000457202,0.000457202
